track_name,artists_name,added_at,track_id,artists_id
Anti-Hero,['Taylor Swift'],2022-10-29T12:00:44Z,0V3wPSX9ygBnCm8psDIegu,['06HL4z0CvFAxyc27GXpf02']
Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",2022-10-29T12:00:44Z,3nqQXoyQOWXiESFLlDF1hG,"['2wY79sveU1sp5g7SokKOiI', '3Xt3RrJMFv5SZkCfUE8C1J']"
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,['Rihanna'],2022-10-29T12:00:44Z,35ovElsgyAtQwYPYnZJECg,['5pKCCKE2ajJHZ9KAiaK11H']
Lavender Haze,['Taylor Swift'],2022-10-29T12:00:44Z,5jQI2r1RdgtuT8S3iG8zFC,['06HL4z0CvFAxyc27GXpf02']
Midnight Rain,['Taylor Swift'],2022-10-29T12:00:44Z,3rWDp9tBPQR9z6U5YyRSK4,['06HL4z0CvFAxyc27GXpf02']
Snow On The Beach (feat. Lana Del Rey),"['Taylor Swift', 'Lana Del Rey']",2022-10-29T12:00:44Z,1wtOxkiel43cVs0Yux5Q4h,"['06HL4z0CvFAxyc27GXpf02', '00FQb4jTyendYWaN8pK0wa']"
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",2022-10-29T12:00:44Z,4uUG5RXrOk84mYEfFvj3cK,"['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb']"
Maroon,['Taylor Swift'],2022-10-29T12:00:44Z,3eX0NZfLtGzoLUxPNvRfqm,['06HL4z0CvFAxyc27GXpf02']
Karma,['Taylor Swift'],2022-10-29T12:00:44Z,7KokYm8cMIXCsGVmUvKtqf,['06HL4z0CvFAxyc27GXpf02']
La Bachata,['Manuel Turizo'],2022-10-29T12:00:44Z,5ww2BF9slyYgNOk37BlC4u,['0tmwSHipWxN12fsoLcFU3B']
"You're On Your Own, Kid",['Taylor Swift'],2022-10-29T12:00:44Z,4D7BCuvgdJlYvlX5WlN54t,['06HL4z0CvFAxyc27GXpf02']
As It Was,['Harry Styles'],2022-10-29T12:00:44Z,4Dvkj6JhhA12EX05fT7y2e,['6KImCVD70vtIoJWnq6nGn3']
"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']",2022-10-29T12:00:44Z,2tTmW7RDtMQtBk7m2rYeSw,"['716NhGYqD1jl2wI1Qkgq36', '52iwsT98xCoGgiGntTiR7K']"
Bejeweled,['Taylor Swift'],2022-10-29T12:00:44Z,3qoftcUZaUOncvIYjFSPdE,['06HL4z0CvFAxyc27GXpf02']
Vigilante Shit,['Taylor Swift'],2022-10-29T12:00:44Z,1xwAWUI6Dj0WGC3KiUPN0O,['06HL4z0CvFAxyc27GXpf02']
Question...?,['Taylor Swift'],2022-10-29T12:00:44Z,0heeNYlwOGuUSe7TgUD27B,['06HL4z0CvFAxyc27GXpf02']
The Astronaut,['JIN'],2022-10-29T12:00:44Z,0h7QMc9ZRzA9QJrbEHytn2,['5vV3bFXnN6D6N3Nj4xRvaV']
Shirt,['SZA'],2022-10-29T12:00:44Z,34ZAzO78a5DAVNrYIGWcPm,['7tYKF4w9nC0nq9CsPZTHyP']
Under The Influence,['Chris Brown'],2022-10-29T12:00:44Z,5IgjP7X4th6nMNDh4akUHb,['7bXgB6jMjp9ATFy66eO08Z']
Monotonía,"['Shakira', 'Ozuna']",2022-10-29T12:00:44Z,6G12ZafqofSq7YtrMqUm76,"['0EmeFodog0BfCgMzAIvKQp', '1i8SpTcr7yvPOmcqrbnVXY']"
Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",2022-10-29T12:00:44Z,6Sq7ltF9Qa7SNFBsV5Cogx,"['4q3ewBCX7sLwd24euuV69X', '37230BxxYs9ksS7OkZw3IU']"
I Ain't Worried,['OneRepublic'],2022-10-29T12:00:44Z,4h9wh7iOZ0GGn8QVp4RAOB,['5Pwc4xIPtQLFEnJriah9YJ']
Tití Me Preguntó,['Bad Bunny'],2022-10-29T12:00:44Z,1IHWl5LamUGEuP4ozKQSXZ,['4q3ewBCX7sLwd24euuV69X']
Mastermind,['Taylor Swift'],2022-10-29T12:00:44Z,7FmYn9e7KHMXcxqGSj9LjH,['06HL4z0CvFAxyc27GXpf02']
Labyrinth,['Taylor Swift'],2022-10-29T12:00:44Z,0A1JLUlkZkp2EFrosoNQi0,['06HL4z0CvFAxyc27GXpf02']
Bad Habit,['Steve Lacy'],2022-10-29T12:00:44Z,4k6Uh1HXdhtusDW5y8Gbvy,['57vWImR43h4CaDao012Ofp']
DESPECHÁ,['ROSALÍA'],2022-10-29T12:00:44Z,53tfEupEzQRtVFOeZvk7xq,['7ltDVBr6mKbRvohxheJ9h1']
Sweet Nothing,['Taylor Swift'],2022-10-29T12:00:44Z,0wavGRldH0AWyu2zvTz8zb,['06HL4z0CvFAxyc27GXpf02']
CUFF IT,['Beyoncé'],2022-10-29T12:00:44Z,1xzi1Jcr7mEi9K2RfzLOqS,['6vWDO969PvNqNYHIOW5v0m']
Miss You,"['Oliver Tree', 'Robin Schulz']",2022-10-29T12:00:44Z,73vIOb4Q7YN6HeJTbscRx5,"['6TLwD7HPWuiOzvXEa3oCNe', '3t5xRXzsuZmMDkQzgOX35S']"
Efecto,['Bad Bunny'],2022-10-29T12:00:44Z,5Eax0qFko2dh7Rl2lYs3bx,['4q3ewBCX7sLwd24euuV69X']
Another Love,['Tom Odell'],2022-10-29T12:00:44Z,7jtQIBanIiJOMS6RyCx6jZ,['2txHhyCwHjUEpJjWrEyqyX']
In My Head,['Juice WRLD'],2022-10-29T12:00:44Z,2RJAKIw6nIkgZVsAIKhmqz,['4MCBfE4596Uoi2O4DtmEMz']
SNAP,['Rosa Linn'],2022-10-29T12:00:44Z,6zJejIfVYLgjud3lTk4DLB,['46xBNx0j6cwY6sD9LgMTm1']
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",2022-10-29T12:00:44Z,0WtM2NBVQNNJLh6scP13H8,"['46pWGuE3dSwY3bMMXGBvVS', '0C8ZW7ezQVs4URX5aX7Kqx']"
Ojitos Lindos,"['Bad Bunny', 'Bomba Estéreo']",2022-10-29T12:00:44Z,3k3NWokhRRkEPhCzPmV8TW,"['4q3ewBCX7sLwd24euuV69X', '5n9bMYfz9qss2VOW89EVs2']"
Romantic Homicide,['d4vd'],2022-10-29T12:00:44Z,1xK59OXxi2TAAAbmZK0kBL,['5y8tKLUfMvliMe8IKamR32']
Bones,['Imagine Dragons'],2022-10-29T12:00:44Z,54ipXppHLA8U4yqpOFTUhr,['53XhwfbYqKCa1cC15pYq2q']
"Would've, Could've, Should've",['Taylor Swift'],2022-10-29T12:00:44Z,3pUa0ZxdSeaJXm0EIydD3F,['06HL4z0CvFAxyc27GXpf02']
golden hour,['JVKE'],2022-10-29T12:00:44Z,5odlY52u43F5BjByhxg7wg,['164Uj4eKjl6zTBKfJLFKKK']
Until I Found You,['Stephen Sanchez'],2022-10-29T12:00:44Z,6VhuP99TE6gYNQRJIlAWFD,['5XKFrudbV4IiuE5WuTPRmT']
Sweater Weather,['The Neighbourhood'],2022-10-29T12:00:44Z,2QjOHCTQ1Jl3zawyYOpxh6,['77SW9BnxLY8rJ0RciFqkHh']
Hey Mor,"['Ozuna', 'Feid']",2022-10-29T12:00:44Z,1zsPaEkglFvxjAhrM8yhpr,"['1i8SpTcr7yvPOmcqrbnVXY', '2LRoIwlKmHjgvigdNGBHNo']"
Die For You,['The Weeknd'],2022-10-29T12:00:44Z,2LBqCSwhJGcFQeTHMVGwy3,['1Xyo4u8uXC1ZmMpatF05PJ']
I Wanna Be Yours,['Arctic Monkeys'],2022-10-29T12:00:44Z,5XeFesFbtLpXzIVDNQP22n,['7Ln80lUS6He07XvHI8qqHH']
Super Freaky Girl,['Nicki Minaj'],2022-10-29T12:00:44Z,2yjlYDiNiQkdxVqTlaSrlX,['0hCNtLu0JehylgoiP8L4Gh']
Glimpse of Us,['Joji'],2022-10-29T12:00:44Z,6xGruZOHLs39ZbVccQTuPZ,['3MZsBdqDrRTJihTHQrO6Dq']
Heat Waves,['Glass Animals'],2022-10-29T12:00:44Z,02MWAaffLxlfxAUY7c5dvx,['4yvcSjfu4PC0CYQyLy4wSq']
The Great War,['Taylor Swift'],2022-10-29T12:00:44Z,5BYl3SodS3rGmafWXRWmB7,['06HL4z0CvFAxyc27GXpf02']
Neverita,['Bad Bunny'],2022-10-29T12:00:44Z,31i56LZnwE6uSu3exoHjtB,['4q3ewBCX7sLwd24euuV69X']
